iter	Passed	Remaining
438	1380	1764
439	1385	1763
440	1389	1761
441	1392	1757
442	1395	1754
443	1399	1752
444	1402	1749
445	1405	1745
446	1408	1742
447	1411	1738
448	1419	1742
449	1422	1739
450	1425	1735
451	1429	1732
452	1432	1729
453	1434	1725
454	1437	1721
455	1439	1717
456	1443	1714
457	1446	1711
458	1449	1708
459	1452	1704
460	1455	1701
461	1458	1698
462	1461	1695
463	1464	1691
464	1466	1687
465	1469	1684
466	1473	1681
467	1476	1677
468	1479	1674
469	1481	1670
470	1484	1666
471	1487	1664
472	1491	1661
473	1494	1657
474	1496	1654
475	1499	1650
476	1502	1647
477	1505	1643
478	1508	1640
479	1510	1636
480	1513	1632
481	1515	1629
482	1524	1632
483	1529	1630
484	1534	1629
485	1538	1627
486	1542	1624
487	1549	1625
488	1553	1623
489	1557	1621
490	1567	1624
491	1574	1625
492	1583	1628
493	1590	1628
494	1598	1630
495	1602	1628
496	1642	1662
497	1648	1662
498	1655	1661
499	1662	1662
500	1665	1658
501	1667	1654
502	1670	1650
503	1673	1646
504	1677	1643
505	1681	1641
506	1684	1637
507	1687	1634
508	1691	1631
509	1694	1627
510	1696	1623
511	1699	1619
512	1703	1617
513	1706	1613
514	1709	1609
515	1713	1607
516	1715	1603
517	1720	1600
518	1723	1597
519	1726	1594
520	1729	1590
521	1733	1587
522	1738	1585
523	1741	1581
524	1744	1577
525	1747	1574
526	1751	1571
527	1754	1568
528	1758	1565
529	1761	1562
530	1764	1558
531	1767	1555
532	1770	1551
533	1773	1547
534	1776	1543
535	1780	1541
536	1783	1537
537	1787	1535
538	1790	1531
539	1796	1530
540	1799	1526
541	1802	1523
542	1806	1520
543	1811	1518
544	1814	1515
545	1817	1511
546	1821	1508
547	1825	1505
548	1828	1502
549	1831	1498
550	1834	1495
551	1838	1492
552	1841	1488
553	1844	1485
554	1848	1482
555	1855	1481
556	1859	1478
557	1862	1475
558	1869	1474
559	1874	1472
560	1877	1469
561	1884	1468
562	1887	1465
563	1890	1461
564	1893	1458
565	1896	1454
566	1900	1451
567	1903	1447
568	1907	1444
569	1917	1446
570	1922	1444
571	1927	1442
572	1930	1438
573	1934	1435
574	1937	1432
575	1943	1430
576	1946	1427
577	1949	1423
578	1952	1419
579	1955	1415
580	1958	1412
581	1960	1408
582	1963	1404
583	1966	1400
584	1969	1396
585	1971	1393
586	1974	1389
587	1976	1385
588	1979	1381
589	1982	1377
590	1986	1375
591	1989	1371
592	1992	1367
593	1997	1365
594	2002	1362
595	2005	1359
596	2007	1355
597	2010	1351
598	2012	1347
599	2015	1343
600	2018	1339
601	2021	1336
602	2023	1332
603	2026	1328
604	2028	1324
605	2030	1320
606	2033	1316
607	2036	1312
608	2039	1309
609	2041	1305
610	2044	1301
611	2047	1297
612	2050	1294
613	2053	1290
614	2056	1287
615	2059	1283
616	2062	1280
617	2065	1276
618	2067	1272
619	2070	1268
620	2072	1265
621	2076	1261
622	2079	1258
623	2081	1254
624	2084	1250
625	2086	1246
626	2089	1243
627	2092	1239
628	2094	1235
629	2096	1231
630	2099	1227
631	2101	1223
632	2104	1220
633	2106	1216
634	2109	1212
635	2111	1208
636	2114	1205
637	2117	1201
638	2121	1198
639	2123	1194
640	2126	1190
641	2128	1187
642	2131	1183
643	2135	1180
644	2137	1176
645	2140	1173
646	2143	1169
647	2150	1168
648	2153	1164
649	2156	1160
650	2160	1158
651	2163	1154
652	2166	1151
653	2170	1148
654	2173	1144
655	2176	1141
656	2180	1138
657	2182	1134
658	2186	1131
659	2188	1127
660	2191	1123
661	2194	1120
662	2197	1117
663	2200	1113
664	2203	1109
665	2205	1106
666	2209	1103
667	2212	1099
668	2214	1095
669	2217	1092
670	2220	1088
671	2223	1085
672	2225	1081
673	2228	1077
674	2231	1074
675	2234	1070
676	2236	1067
677	2239	1063
678	2241	1059
679	2245	1056
680	2248	1053
681	2256	1051
682	2259	1048
683	2262	1045
684	2264	1041
685	2269	1038
686	2272	1035
687	2276	1032
688	2281	1029
689	2284	1026
690	2288	1023
691	2292	1020
692	2296	1017
693	2300	1014
694	2305	1011
695	2314	1011
696	2321	1009
697	2326	1006
698	2333	1004
699	2336	1001
700	2339	997
701	2342	994
702	2345	990
703	2348	987
704	2351	983
705	2356	981
706	2361	978
707	2365	975
708	2370	972
709	2374	969
710	2377	966
711	2382	963
712	2387	960
713	2391	957
714	2394	954
715	2397	951
716	2401	947
717	2404	944
718	2408	941
719	2411	937
720	2415	934
721	2420	931
722	2423	928
723	2426	925
724	2430	922
725	2434	918
726	2438	915
727	2441	912
728	2446	909
729	2449	905
730	2452	902
731	2455	898
732	2458	895
733	2462	892
734	2465	888
735	2468	885
736	2471	881
737	2475	878
738	2478	875
739	2482	872
740	2485	868
741	2489	865
742	2493	862
743	2496	858
744	2499	855
745	2503	852
746	2506	849
747	2511	845
748	2514	842
749	2518	839
750	2520	835
751	2523	832
752	2527	828
753	2530	825
754	2533	822
755	2536	818
756	2539	815
757	2542	811
758	2546	808
759	2550	805
760	2553	801
761	2556	798
762	2559	794
763	2563	791
764	2566	788
765	2568	784
766	2571	781
767	2574	777
768	2577	774
769	2580	770
770	2583	767
771	2586	763
772	2589	760
773	2592	756
774	2595	753
775	2598	750
776	2601	746
777	2604	743
778	2608	740
779	2611	736
780	2614	733
781	2617	729
782	2620	726
783	2624	723
784	2627	719
785	2630	716
786	2633	712
787	2637	709
788	2640	706
789	2643	702
790	2646	699
791	2649	695
792	2652	692
793	2656	689
794	2659	685
795	2662	682
796	2666	679
797	2669	675
798	2672	672
799	2675	668
800	2678	665
801	2681	662
802	2684	658
803	2687	655
804	2690	651
805	2693	648
806	2697	645
807	2700	641
808	2703	638
809	2706	634
810	2709	631
811	2712	628
812	2715	624
813	2718	621
814	2721	617
815	2725	614
816	2728	611
817	2730	607
818	2733	604
819	2736	600
820	2739	597
821	2742	593
822	2744	590
823	2747	586
824	2750	583
825	2753	580
826	2756	576
827	2759	573
828	2762	569
829	2764	566
830	2767	562
831	2771	559
832	2774	556
833	2776	552
834	2779	549
835	2782	545
836	2785	542
837	2789	539
838	2791	535
839	2794	532
840	2798	528
841	2801	525
842	2804	522
843	2808	519
844	2811	515
845	2814	512
846	2817	509
847	2820	505
848	2823	502
849	2826	498
850	2830	495
851	2835	492
852	2839	489
853	2843	486
854	2846	482
855	2848	479
856	2851	475
857	2854	472
858	2858	469
859	2861	465
860	2863	462
861	2866	458
862	2868	455
863	2871	452
864	2874	448
865	2876	445
866	2879	441
867	2881	438
868	2885	435
869	2889	431
870	2891	428
871	2893	424
872	2896	421
873	2898	417
874	2901	414
875	2904	411
876	2907	407
877	2909	404
878	2912	400
879	2915	397
880	2918	394
881	2920	390
882	2923	387
883	2925	383
884	2928	380
885	2931	377
886	2933	373
887	2936	370
888	2939	366
889	2941	363
890	2944	360
891	2947	356
892	2950	353
893	2952	350
894	2955	346
895	2958	343
896	2961	340
897	2964	336
898	2966	333
899	2969	329
900	2971	326
901	2974	323
902	2977	319
903	2979	316
904	2982	313
905	2984	309
906	2987	306
907	2991	303
908	2994	299
909	2996	296
910	2999	293
911	3002	289
912	3005	286
913	3008	283
914	3010	279
915	3014	276
916	3017	273
917	3020	269
918	3023	266
919	3026	263
920	3029	259
921	3034	256
922	3037	253
923	3040	250
924	3043	246
925	3045	243
926	3049	240
927	3052	236
928	3055	233
929	3058	230
930	3061	226
931	3065	223
932	3068	220
933	3071	217
934	3073	213
935	3077	210
936	3080	207
937	3083	203
938	3087	200
939	3089	197
940	3093	193
941	3096	190
942	3099	187
943	3102	184
944	3107	180
945	3111	177
946	3114	174
947	3116	170
948	3120	167
949	3127	164
950	3130	161
951	3133	158
952	3137	154
953	3140	151
954	3143	148
955	3146	144
956	3148	141
957	3152	138
958	3156	134
959	3159	131
960	3162	128
961	3164	125
962	3168	121
963	3171	118
964	3173	115
965	3177	111
966	3180	108
967	3183	105
968	3186	101
969	3189	98
970	3192	95
971	3194	92
972	3197	88
973	3201	85
974	3203	82
975	3206	78
976	3209	75
977	3212	72
978	3215	68
979	3217	65
980	3220	62
981	3223	59
982	3226	55
983	3229	52
984	3232	49
985	3234	45
986	3237	42
987	3241	39
988	3244	36
989	3247	32
990	3250	29
991	3252	26
992	3255	22
993	3259	19
994	3262	16
995	3265	13
996	3268	9
997	3272	6
998	3275	3
999	3277	0
